,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
1,Aaron Judge,30,New York Yankees,NYY,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210,391,14,6,0,5,19,0.7557,1,526
2,Matt Carpenter,36,New York Yankees,NYY,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,216,93,2,5,1,1,1,0.7532,2,116
3,Mike Trout,30,Los Angeles Angels,LAA,119,499,438,85,124,28,2,40,80,1,0,54,139,0.283,0.369,0.63,0.999,176,276,6,6,0,1,8,0.6794,3,339
4,Yordan Álvarez,25,Houston Astros,HOU,135,561,470,95,144,29,2,37,97,1,1,78,106,0.306,0.406,0.613,1.019,188,288,12,6,0,7,9,0.6578,4,369
5,Paul Goldschmidt,34,St. Louis Cardinals,STL,151,651,561,106,178,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177,324,7,5,0,4,1,0.6283,5,409
6,Jazz Chisholm Jr.,24,Miami Marlins,MIA,60,241,213,39,54,10,4,14,45,12,5,21,66,0.254,0.325,0.535,0.86,138,114,0,3,0,3,0,0.6017,6,145
7,José Ramírez,29,Cleveland Indians,CLE,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148,309,5,6,0,9,20,0.6015,7,412
8,José Altuve,32,Houston Astros,HOU,141,604,527,103,158,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,161,281,13,10,0,1,2,0.6010,8,363
9,Byron Buxton,28,Minnesota Twins,MIN,92,382,340,61,76,13,3,28,51,6,0,34,116,0.224,0.306,0.526,0.833,133,179,0,7,0,1,0,0.5916,9,226
10,Freddie Freeman,32,Los Angeles Dodgers,LAD,159,708,612,117,199,47,2,21,100,13,3,84,102,0.325,0.407,0.511,0.918,156,313,6,5,0,7,12,0.5904,10,418
11,Shohei Ohtani,27,Los Angeles Angels,LAA,157,666,586,90,160,30,6,34,95,11,9,72,161,0.273,0.356,0.519,0.875,144,304,6,5,0,3,14,0.5871,11,391
12,Manny Machado,29,San Diego Padres,SDP,150,644,578,100,172,37,1,32,102,9,1,63,133,0.298,0.366,0.531,0.898,157,307,12,1,0,2,10,0.5854,12,377
13,Mookie Betts,29,Los Angeles Dodgers,LAD,142,639,572,117,154,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,140,305,8,8,0,4,0,0.5790,13,370
14,Julio Rodríguez,21,Seattle Mariners,SEA,132,560,511,84,145,25,3,28,75,25,7,40,145,0.284,0.345,0.509,0.853,147,260,7,8,0,1,4,0.5768,14,323
15,Trayce Thompson,31,Toronto Blue Jays,TOT,80,255,219,36,56,14,1,13,41,4,1,32,93,0.256,0.353,0.507,0.86,138,111,2,2,0,2,0,0.5725,15,146
16,Kyle Schwarber,29,Philadelphia Phillies,PHI,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,131,291,10,4,0,2,3,0.5725,16,383
17,Pete Alonso,27,New York Mets,NYM,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146,309,17,12,0,9,16,0.5708,17,391
18,Joc Pederson,30,San Francisco Giants,SFG,134,433,380,57,104,19,3,23,70,3,2,42,100,0.274,0.353,0.521,0.874,146,198,5,7,0,4,3,0.5681,18,246
19,Bryce Harper,29,Philadelphia Phillies,PHI,99,426,370,63,106,28,1,18,65,11,4,46,87,0.286,0.364,0.514,0.877,146,190,13,3,0,7,9,0.5681,19,242
20,Michael Harris II,21,Atlanta Braves,ATL,114,441,414,75,123,27,3,19,64,20,2,21,107,0.297,0.339,0.514,0.853,133,213,7,5,1,0,0,0.5669,20,250
21,Danny Jansen,27,Toronto Blue Jays,TOR,72,248,215,34,56,10,0,15,44,1,0,25,44,0.26,0.339,0.516,0.855,142,111,1,3,0,5,1,0.5645,21,140
22,Juan Soto,23,Toronto Blue Jays,TOT,153,664,524,93,127,25,2,27,62,6,2,135,96,0.242,0.401,0.452,0.853,147,237,12,4,0,0,6,0.5633,22,374
23,Austin Riley,25,Atlanta Braves,ATL,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,140,325,13,17,0,4,1,0.5613,23,389
24,Rafael Devers,25,Boston Red Sox,BOS,141,614,555,84,164,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,141,289,14,6,0,3,11,0.5603,24,344
25,Nolan Arenado,31,St. Louis Cardinals,STL,148,620,557,73,163,42,1,30,103,5,3,52,72,0.293,0.358,0.533,0.891,151,297,15,7,0,4,3,0.5581,25,346
26,Albert Pujols,42,St. Louis Cardinals,STL,109,351,307,42,83,14,0,24,68,1,2,28,55,0.27,0.345,0.55,0.895,151,169,13,10,0,6,1,0.5527,26,194
27,William Contreras,24,Atlanta Braves,ATL,97,376,334,51,93,14,1,20,45,2,0,39,104,0.278,0.354,0.506,0.86,136,169,5,1,0,2,1,0.5505,27,207
28,Kyle Tucker,25,Houston Astros,HOU,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,129,260,11,1,0,2,4,0.5484,28,334
29,J.T. Realmuto,31,Philadelphia Phillies,PHI,139,562,504,75,139,26,5,22,84,21,1,41,119,0.276,0.342,0.478,0.82,130,241,7,12,0,5,1,0.5480,29,308
30,Corbin Carroll,21,Arizona Diamondbacks,ARI,32,115,104,13,27,9,2,4,14,2,1,8,31,0.26,0.33,0.5,0.83,132,52,1,3,0,0,0,0.5478,30,63
31,Joey Meneses,30,Washington Nationals,WSN,56,240,222,33,72,14,0,13,34,1,0,15,52,0.324,0.367,0.563,0.93,164,125,13,1,0,2,2,0.5458,31,131
32,Anthony Rizzo,32,New York Yankees,NYY,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,130,223,13,23,0,2,6,0.5438,32,298
33,Rob Refsnyder,31,Boston Red Sox,BOS,57,177,153,25,47,11,0,6,21,1,1,15,46,0.307,0.384,0.497,0.881,143,76,1,6,0,3,0,0.5424,33,96
34,Andrés Giménez,23,Cleveland Indians,CLE,146,557,491,66,146,26,3,17,69,20,3,34,112,0.297,0.371,0.466,0.837,141,229,9,25,4,3,4,0.5386,34,300
35,Jake Fraley,27,Cinncinnati Reds,CIN,68,247,216,33,56,9,0,12,28,4,1,26,54,0.259,0.344,0.468,0.812,121,101,1,3,0,2,1,0.5385,35,133
36,Dylan Moore,29,Seattle Mariners,SEA,104,255,205,41,46,11,2,6,24,21,8,34,75,0.224,0.368,0.385,0.753,122,79,5,13,1,1,2,0.5333,36,136
37,George Springer,32,Toronto Blue Jays,TOR,133,583,513,89,137,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,132,242,7,7,0,5,1,0.5300,37,309
38,Lars Nootbaar,24,St. Louis Cardinals,STL,108,347,290,53,66,16,3,14,40,4,1,51,71,0.228,0.34,0.448,0.788,124,130,3,1,0,5,1,0.5274,38,183
39,Matt Olson,28,Atlanta Braves,ATL,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,120,294,13,4,0,4,6,0.5236,39,366
40,Adley Rutschman,24,Baltimore Orioles,BAL,113,470,398,70,101,35,1,13,42,4,0,65,86,0.254,0.362,0.445,0.806,131,177,4,4,0,3,0,0.5234,40,246
41,Taylor Ward,28,Los Angeles Angels,LAA,135,564,495,73,139,22,2,23,65,5,3,60,120,0.281,0.36,0.473,0.833,134,234,5,4,0,5,0,0.5230,41,295
42,Drew Waters,23,Kansas City Royals,KCR,32,109,96,14,23,6,1,5,18,0,0,12,40,0.24,0.324,0.479,0.803,124,46,1,0,0,0,0,0.5229,42,57
43,Cal Raleigh,25,Seattle Mariners,SEA,119,415,370,46,78,20,1,27,63,1,0,38,122,0.211,0.284,0.489,0.774,122,181,5,2,0,5,0,0.5229,43,217
44,Kerry Carpenter,24,Detroit Tigers,DET,31,113,103,16,26,4,1,6,10,0,0,6,32,0.252,0.31,0.485,0.795,125,50,0,3,0,1,0,0.5221,44,59
45,Darick Hall,26,Philadelphia Phillies,PHI,41,142,136,19,34,8,1,9,16,0,0,5,44,0.25,0.282,0.522,0.804,122,71,3,1,0,0,0,0.5211,45,74
46,Nathaniel Lowe,26,Texas Rangers,TEX,157,645,593,74,179,26,3,27,76,2,2,48,147,0.302,0.358,0.492,0.851,139,292,10,4,0,0,2,0.5209,46,336
47,Garrett Stubbs,29,Philadelphia Phillies,PHI,46,121,106,19,28,4,1,5,16,2,0,14,30,0.264,0.35,0.462,0.812,129,49,2,0,1,0,0,0.5207,47,63
48,Trea Turner,29,Los Angeles Dodgers,LAD,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124,304,9,3,0,6,1,0.5198,48,368
49,Sam Haggerty,28,Seattle Mariners,SEA,83,201,176,29,45,9,1,5,23,13,1,18,53,0.256,0.335,0.403,0.738,116,71,4,4,1,2,3,0.5174,49,104
50,Jake McCarthy,24,Arizona Diamondbacks,ARI,99,354,321,53,91,16,3,8,43,23,3,23,76,0.283,0.342,0.427,0.769,117,137,3,6,3,1,0,0.5169,50,183
