Rank,Name,Age,TmFull,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
1,Shohei Ohtani,28,Los Angeles Angels,LAA,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,184,325,9,3,0,3,21,0.7429,1,445
2,Ronald Acuna Jr.,25,Atlanta Braves,ATL,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168,383,15,9,0,3,3,0.7061,2,519
3,Aaron Judge,31,New York Yankees,NYY,106,458,367,79,98,16,0,37,75,3,1,88,130,0.267,0.406,0.613,1.019,175,225,5,0,0,3,9,0.6965,3,319
4,Davis Schneider,24,Toronto Blue Jays,TOR,35,141,116,23,32,12,1,8,20,1,0,21,43,0.276,0.404,0.603,1.008,175,70,2,4,0,0,0,0.6667,6,94
5,Corey Seager,29,Texas Rangers,TEX,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.390,0.623,1.013,170,297,9,4,0,6,9,0.6549,5,351
6,Matt Olson,29,Atlanta Braves,ATL,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8,0.6542,4,471
7,Mookie Betts,30,Los Angeles Dodgers,LAD,152,693,584,126,179,40,1,39,107,14,3,96,107,0.307,0.408,0.579,0.987,163,338,5,8,0,5,3,0.6508,7,451
8,Nolan Jones,25,Colorado Rockies,COL,106,424,367,60,109,22,4,20,62,20,4,53,126,0.297,0.389,0.542,0.931,138,199,1,3,0,1,3,0.6439,9,273
9,Yordan Álvarez,26,Houston Astros,HOU,114,496,410,77,120,24,1,31,97,0,0,69,92,0.293,0.407,0.583,0.990,170,239,7,13,0,4,5,0.6431,10,319
10,Freddie Freeman,33,Los Angeles Dodgers,LAD,161,730,637,131,211,59,2,29,102,23,1,72,121,0.331,0.410,0.567,0.976,161,361,14,16,0,5,12,0.6425,8,469
11,Corbin Carroll,22,Arizona Diamondbacks,ARI,155,645,565,116,161,30,10,25,76,54,5,57,125,0.285,0.362,0.506,0.868,134,286,7,13,6,4,1,0.6186,14,399
12,Dairon Blanco,30,Kansas City Royals,KCR,69,138,124,19,32,7,4,3,18,24,5,10,33,0.258,0.324,0.452,0.775,111,56,2,2,2,0,0,0.6159,12,85
13,Juan Soto,24,San Diego Padres,SDP,162,708,568,97,156,32,1,35,109,12,5,132,129,0.275,0.410,0.519,0.930,158,295,18,2,1,5,11,0.6059,11,429
14,Nelson Velázquez,24,Kansas City Royals,KCR,53,179,162,35,38,6,0,17,34,0,0,14,51,0.235,0.302,0.586,0.888,136,95,3,2,0,1,0,0.6034,15,108
15,Will Benson,25,Cinncinnati Reds,CIN,108,329,287,51,79,15,8,11,31,19,3,40,103,0.275,0.365,0.498,0.863,130,143,3,1,0,1,0,0.5988,16,197
16,Nelson Velázquez,24,Kansas City Royals,KCR,40,147,133,27,31,4,0,14,28,0,0,11,43,0.233,0.299,0.579,0.878,134,77,2,2,0,1,0,0.5986,18,88
17,Kyle Tucker,26,Houston Astros,HOU,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,297,11,3,0,10,9,0.5979,13,403
18,Matt Wallner,25,Minnesota Twins,MIN,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.370,0.507,0.877,139,108,1,13,0,0,1,0.5906,65,150
