Rank,Name,Age,TmFull,team_ID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,BC%,BCrk,Total BC
1,Travis Jankowski,33,Texas Rangers,TEX,1,1,1,1,1,0,0,1,1,0,0,0,0,1.000,1.000,4.000,5.000,1261,4,0,0,0,0,0,4.0000,1,4
2,Edward Olivares,28,Pittsburgh Pirates,PIT,1,1,1,1,1,0,0,1,1,0,0,0,0,1.000,1.000,4.000,5.000,1221,4,0,0,0,0,0,4.0000,2,4
3,Royce Lewis,25,Minnesota Twins,MIN,1,2,2,1,2,0,0,1,1,0,0,0,0,1.000,1.000,2.500,3.500,874,5,0,0,0,0,0,2.5000,3,5
4,Nick Martini,34,Cincinnati Reds,CIN,1,4,4,2,2,0,0,2,5,0,0,0,0,.500,.500,2.000,2.500,560,8,0,0,0,0,0,2.0000,4,8
5,Jake Meyers,28,Houston Astros,HOU,1,2,2,1,1,0,0,1,1,0,0,0,1,.500,.500,2.000,2.500,581,4,0,0,0,0,0,2.0000,5,4
6,Dylan Moore,31,Seattle Mariners,SEA,1,2,2,1,1,0,0,1,2,0,0,0,1,.500,.500,2.000,2.500,581,4,0,0,0,0,0,2.0000,6,4
7,Ryan O'Hearn,30,Baltimore Orioles,BAL,1,1,1,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,745,2,0,0,0,0,0,2.0000,7,2
8,Luis Rengifo,27,Los Angeles Angels,LAA,1,1,1,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,745,2,0,0,0,0,0,2.0000,8,2
9,Amed Rosario,28,Tampa Bay Rays,TBR,1,1,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,745,2,0,0,0,0,0,2.0000,9,2
10,Michael Conforto,31,San Francisco Giants,SFG,1,4,4,3,3,1,0,1,1,0,0,0,1,.750,.750,1.750,2.500,570,7,0,0,0,0,0,1.7500,10,7
11,Yandy Díaz,32,Tampa Bay Rays,TBR,1,4,4,1,3,1,0,1,2,0,0,0,0,.750,.750,1.750,2.500,598,7,0,0,0,0,0,1.7500,11,7
12,Cavan Biggio,29,Toronto Blue Jays,TOR,1,4,2,2,1,0,0,1,1,0,0,2,1,.500,.750,2.000,2.750,663,4,0,0,0,0,0,1.5000,12,6
13,Paul Goldschmidt,36,St. Louis Cardinals,STL,1,4,4,1,3,0,0,1,1,0,0,0,1,.750,.750,1.500,2.250,506,6,0,0,0,0,0,1.5000,13,6
14,Mitch Haniger,33,Seattle Mariners,SEA,1,4,3,2,2,0,0,1,2,0,0,1,0,.667,.750,1.667,2.417,577,5,0,0,0,0,0,1.5000,14,6
15,Tyler O'Neill,29,Boston Red Sox,BOS,1,4,3,2,1,0,0,1,1,1,0,1,0,.333,.500,1.333,1.833,409,4,0,0,0,0,0,1.5000,15,6
16,Eddie Rosario,32,Washington Nationals,WSN,1,3,3,1,1,0,0,1,2,0,0,0,0,.333,.333,1.333,1.667,340,4,0,0,0,0,0,1.3333,16,4
17,Mike Trout,32,Los Angeles Angels,LAA,1,3,3,1,1,0,0,1,1,0,0,0,1,.333,.333,1.333,1.667,354,4,0,0,0,0,0,1.3333,17,4
18,Oswaldo Cabrera,25,New York Yankees,NYY,1,4,4,2,2,0,0,1,1,0,0,0,1,.500,.500,1.250,1.750,387,5,0,0,0,0,0,1.2500,18,5
19,Ryan McMahon,29,Colorado Rockies,COL,1,4,2,0,2,1,0,0,1,0,0,2,0,1.000,1.000,1.500,2.500,580,3,0,0,0,0,0,1.2500,19,5
